"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2014,1,"Ciutat Vella",1,"el Raval",47489,"109.8","432","956"
2014,1,"Ciutat Vella",2,"el Barri Gòtic",15734,"84.2","187","461"
2014,1,"Ciutat Vella",3,"la Barceloneta",15104,"131.4","115","1155"
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22358,"111.4","201","692"
2014,2,"Eixample",5,"el Fort Pienc",31494,"92.9","339","943"
2014,2,"Eixample",6,"la Sagrada Família",51299,"105.1","488","996"
2014,2,"Eixample",7,"la Dreta de l'Eixample",43340,"212.3","204","381"
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41717,"123.4","338","623"
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57619,"133.8","431","876"
2014,2,"Eixample",10,"Sant Antoni",38096,"80.1","476","919"
2014,3,"Sants-Montjuïc",11,"el Poble Sec",40278,"460.5","87","1121"
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1144,"1428.4","1","31"
2014,3,"Sants-Montjuïc",13,"la Marina de Port",30047,"125.5","239","768"
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10309,"30.2","341","904"
2014,3,"Sants-Montjuïc",15,"Hostafrancs",15666,"41.0","382","700"
2014,3,"Sants-Montjuïc",16,"la Bordeta",18398,"57.7","319","891"
2014,3,"Sants-Montjuïc",17,"Sants - Badal",24128,"41.1","588","960"
2014,3,"Sants-Montjuïc",18,"Sants",40854,"109.8","372","735"
2014,4,"Les Corts",19,"les Corts",45984,"141.3","326","709"
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon",23564,"190.3","124","721"
2014,4,"Les Corts",21,"Pedralbes",11652,"270.2","43","143"
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4514,"1152.2","4","50"
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià",24523,"304.2","81","261"
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16161,"78.8","205","380"
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24926,"223.5","112","304"
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46466,"165.9","280","487"
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29171,"84.6","345","548"
2014,6,"Gràcia",28,"Vallcarca i els Penitents",15413,"120.9","128","328"
2014,6,"Gràcia",29,"el Coll",7203,"35.8","201","581"
2014,6,"Gràcia",30,"la Salut",13166,"64.3","205","679"
2014,6,"Gràcia",31,"la Vila de Gràcia",50448,"132.6","380","604"
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34043,"65.0","524","883"
2014,7,"Horta-Guinardó",33,"el Baix Guinardó",25527,"56.0","456","1076"
2014,7,"Horta-Guinardó",34,"Can Baró",8859,"38.4","231","618"
2014,7,"Horta-Guinardó",35,"el Guinardó",35534,"130.8","272","679"
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues",9440,"65.7","144","239"
2014,7,"Horta-Guinardó",37,"el Carmel",31659,"94.2","336","803"
2014,7,"Horta-Guinardó",38,"la Teixonera",11435,"33.7","339","607"
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6884,"171.6","40","380"
2014,7,"Horta-Guinardó",40,"Montbau",5047,"204.7","25","432"
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron",5490,"73.6","75","674"
2014,7,"Horta-Guinardó",42,"la Clota",521,"17.8","29","85"
2014,7,"Horta-Guinardó",43,"Horta",26554,"308.2","86","419"
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25336,"56.7","447","874"
2014,8,"Nou Barris",45,"Porta",24224,"84.1","288","696"
2014,8,"Nou Barris",46,"el Turó de la Peira",15466,"35.4","437","1152"
2014,8,"Nou Barris",47,"Can Peguera",2262,"12.0","189","272"
2014,8,"Nou Barris",48,"la Guineueta",15056,"61.1","246","670"
2014,8,"Nou Barris",49,"Canyelles",6981,"79.3","88","768"
2014,8,"Nou Barris",50,"les Roquetes",15564,"64.2","243","849"
2014,8,"Nou Barris",51,"Verdun",12122,"23.7","511","830"
2014,8,"Nou Barris",52,"la Prosperitat",26089,"59.5","439","958"
2014,8,"Nou Barris",53,"la Trinitat Nova",7388,"56.0","132","588"
2014,8,"Nou Barris",54,"Torre Baró",2547,"176.8","14","118"
2014,8,"Nou Barris",55,"Ciutat Meridiana",10171,"35.5","286","672"
2014,8,"Nou Barris",56,"Vallbona",1310,"59.8","22","194"
2014,9,"Sant Andreu",57,"la Trinitat Vella",10241,"81.0","126","807"
2014,9,"Sant Andreu",58,"Baró de Viver",2481,"23.0","108","634"
2014,9,"Sant Andreu",59,"el Bon Pastor",12670,"188.2","67","788"
2014,9,"Sant Andreu",60,"Sant Andreu",56269,"184.1","306","733"
2014,9,"Sant Andreu",61,"la Sagrera",28660,"97.2","295","727"
2014,9,"Sant Andreu",62,"el Congrés i els Indians",13921,"40.7","342","727"
2014,9,"Sant Andreu",63,"Navas",21741,"42.3","514","966"
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",37795,"74.2","510","880"
2014,10,"Sant Martí",65,"el Clot",27035,"69.6","388","1145"
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14613,"111.4","131","744"
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9364,"94.3","99","387"
2014,10,"Sant Martí",68,"el Poblenou",33011,"154.5","214","775"
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13156,"123.7","106","571"
2014,10,"Sant Martí",70,"el Besòs i el Maresme",22829,"127.4","179","891"
2014,10,"Sant Martí",71,"Provençals del Poblenou",20096,"110.5","182","1491"
2014,10,"Sant Martí",72,"Sant Martí de Provençals",25917,"74.5","348","1140"
2014,10,"Sant Martí",73,"la Verneda i la Pau",28813,"112.3","257","889"
